lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,emptype
577511931FN,005,5775,0,11,000000000,093,0004513,0004513,000,10012019,N,I,N,N,1F
577511941FN,005,5775,0,11,000000000,094,0004513,0004513,000,10012019,N,I,N,N,1F
577511951FN,005,5775,0,11,000000000,095,0004597,0004597,000,10012019,N,I,N,N,1F
577511961FN,005,5775,0,11,000000000,096,0004597,0004597,000,10012019,N,I,N,N,1F
577511971FN,005,5775,0,11,000000000,097,0004597,0004597,000,10012019,N,I,N,N,1F
577511981FN,005,5775,0,11,000000000,098,0004597,0004597,000,10012019,N,I,N,N,1F
577511991FN,005,5775,0,11,000000000,099,0004597,0004597,000,10012019,N,I,N,N,1F
577511182FN,005,5775,0,11,000000000,018,0000490,0000490,000,10012019,N,I,N,N,2F
577511192FN,005,5775,0,11,000000000,019,0000490,0000490,000,10012019,N,I,N,N,2F
577511202FN,005,5775,0,11,000000000,020,0000490,0000490,000,10012019,N,I,N,N,2F
577511212FN,005,5775,0,11,000000000,021,0000490,0000490,000,10012019,N,I,N,N,2F
577511222FN,005,5775,0,11,000000000,022,0000490,0000490,000,10012019,N,I,N,N,2F
577511232FN,005,5775,0,11,000000000,023,0000490,0000490,000,10012019,N,I,N,N,2F
577511242FN,005,5775,0,11,000000000,024,0000490,0000490,000,10012019,N,I,N,N,2F
577511252FN,005,5775,0,11,000000000,025,0000490,0000490,000,10012019,N,I,N,N,2F
577511262FN,005,5775,0,11,000000000,026,0000490,0000490,000,10012019,N,I,N,N,2F
577511272FN,005,5775,0,11,000000000,027,0000490,0000490,000,10012019,N,I,N,N,2F
577511282FN,005,5775,0,11,000000000,028,0000490,0000490,000,10012019,N,I,N,N,2F
577511292FN,005,5775,0,11,000000000,029,0000490,0000490,000,10012019,N,I,N,N,2F
577511302FN,005,5775,0,11,000000000,030,0000870,0000870,000,10012019,N,I,N,N,2F
577511312FN,005,5775,0,11,000000000,031,0000870,0000870,000,10012019,N,I,N,N,2F
577511322FN,005,5775,0,11,000000000,032,0000870,0000870,000,10012019,N,I,N,N,2F
577511332FN,005,5775,0,11,000000000,033,0000870,0000870,000,10012019,N,I,N,N,2F
577511342FN,005,5775,0,11,000000000,034,0000870,0000870,000,10012019,N,I,N,N,2F
577511352FN,005,5775,0,11,000000000,035,0001219,0001219,000,10012019,N,I,N,N,2F
577511362FN,005,5775,0,11,000000000,036,0001219,0001219,000,10012019,N,I,N,N,2F
577511372FN,005,5775,0,11,000000000,037,0001219,0001219,000,10012019,N,I,N,N,2F
577511382FN,005,5775,0,11,000000000,038,0001219,0001219,000,10012019,N,I,N,N,2F
577511392FN,005,5775,0,11,000000000,039,0001219,0001219,000,10012019,N,I,N,N,2F
577511402FN,005,5775,0,11,000000000,040,0001658,0001658,000,10012019,N,I,N,N,2F
577511412FN,005,5775,0,11,000000000,041,0001658,0001658,000,10012019,N,I,N,N,2F
577511422FN,005,5775,0,11,000000000,042,0001658,0001658,000,10012019,N,I,N,N,2F
577511432FN,005,5775,0,11,000000000,043,0001658,0001658,000,10012019,N,I,N,N,2F
577511442FN,005,5775,0,11,000000000,044,0001658,0001658,000,10012019,N,I,N,N,2F
577511452FN,005,5775,0,11,000000000,045,0002266,0002266,000,10012019,N,I,N,N,2F
577511462FN,005,5775,0,11,000000000,046,0002266,0002266,000,10012019,N,I,N,N,2F
577511472FN,005,5775,0,11,000000000,047,0002266,0002266,000,10012019,N,I,N,N,2F
577511482FN,005,5775,0,11,000000000,048,0002266,0002266,000,10012019,N,I,N,N,2F
577511492FN,005,5775,0,11,000000000,049,0002266,0002266,000,10012019,N,I,N,N,2F
577511502FN,005,5775,0,11,000000000,050,0003081,0003081,000,10012019,N,I,N,N,2F
577511512FN,005,5775,0,11,000000000,051,0003081,0003081,000,10012019,N,I,N,N,2F
577511522FN,005,5775,0,11,000000000,052,0003081,0003081,000,10012019,N,I,N,N,2F
577511532FN,005,5775,0,11,000000000,053,0003081,0003081,000,10012019,N,I,N,N,2F
577511542FN,005,5775,0,11,000000000,054,0003081,0003081,000,10012019,N,I,N,N,2F
577511552FN,005,5775,0,11,000000000,055,0003929,0003929,000,10012019,N,I,N,N,2F
577511562FN,005,5775,0,11,000000000,056,0003929,0003929,000,10012019,N,I,N,N,2F
577511572FN,005,5775,0,11,000000000,057,0003929,0003929,000,10012019,N,I,N,N,2F
577511582FN,005,5775,0,11,000000000,058,0003929,0003929,000,10012019,N,I,N,N,2F
577511592FN,005,5775,0,11,000000000,059,0003929,0003929,000,10012019,N,I,N,N,2F
577511602FN,005,5775,0,11,000000000,060,0004917,0004917,000,10012019,N,I,N,N,2F
577511612FN,005,5775,0,11,000000000,061,0004917,0004917,000,10012019,N,I,N,N,2F
577511622FN,005,5775,0,11,000000000,062,0004917,0004917,000,10012019,N,I,N,N,2F
577511632FN,005,5775,0,11,000000000,063,0004917,0004917,000,10012019,N,I,N,N,2F
577511642FN,005,5775,0,11,000000000,064,0004917,0004917,000,10012019,N,I,N,N,2F
577511652FN,005,5775,0,11,000000000,065,0006211,0006211,000,10012019,N,I,N,N,2F
577511662FN,005,5775,0,11,000000000,066,0006211,0006211,000,10012019,N,I,N,N,2F
